Country,ISO_Country_Code,Month,Breakfast_Basket_USD,Milk (1L) USD,Bread (500g) USD,Eggs (12) USD,Bananas (1kg) USD,Oranges (1kg) USD,Cheese (1kg) USD,Tomatoes (1kg) USD,Chicken (1kg) USD
Italy,ITA,2026-01,12.1,1.79,2.6,4.48,2.18,3.01,18.41,4.5,13.78
Italy,ITA,2026-02,12.11,1.77,2.58,4.52,2.15,2.99,18.61,4.48,13.57
Italy,ITA,2026-03,12.2,1.79,2.6,4.57,2.15,2.95,18.73,4.48,13.73
Japan,JPN,2025-10,10.1,1.46,1.45,2.1,2.51,4.29,11.55,4.86,6.92
Japan,JPN,2025-11,10.21,1.44,1.44,2.15,2.73,4.67,11.23,5.53,6.86
Japan,JPN,2025-12,10.38,1.48,1.48,2.09,2.75,4.66,11.23,5.46,6.72
Japan,JPN,2026-01,10.16,1.46,1.48,2.09,2.66,4.62,11.49,5.33,6.91
Japan,JPN,2026-02,10.59,1.5,1.5,2.14,2.77,4.51,11.52,5.29,6.9
Japan,JPN,2026-03,10.41,1.5,1.48,2.15,2.71,4.57,11.55,5.28,6.86
Mexico,MEX,2025-10,9.54,1.68,2.83,2.54,1.96,2.08,9.39,3.11,9.07
Mexico,MEX,2025-11,9.84,1.69,2.98,2.63,2.1,2.23,9.63,3.64,9.05
Mexico,MEX,2025-12,9.91,1.71,2.86,2.75,2.13,2.29,9.82,3.57,8.86
Mexico,MEX,2026-01,9.81,1.69,2.9,2.64,2.09,2.26,9.61,3.55,9.07
Mexico,MEX,2026-02,10.12,1.79,2.98,2.7,2.07,2.25,9.84,3.48,9.19
Mexico,MEX,2026-03,10,1.75,2.93,2.69,2.1,2.25,9.84,3.5,9.12
Netherlands,NLD,2025-10,11.76,1.46,2.45,5.3,1.68,2.06,15.35,3.48,16.71
Netherlands,NLD,2025-11,11.87,1.43,2.52,5.34,1.82,2.14,15.09,3.7,15.87
Netherlands,NLD,2025-12,12.01,1.46,2.58,5.26,1.79,2.28,15.04,3.87,16.18
Netherlands,NLD,2026-01,11.95,1.49,2.58,5.28,1.78,2.13,15.61,3.79,15.82
Netherlands,NLD,2026-02,11.94,1.45,2.48,5.34,1.8,2.12,15.08,3.76,16.13
Netherlands,NLD,2026-03,12.05,1.48,2.53,5.37,1.77,2.18,15.48,3.7,16.44
New Zealand,NZL,2025-10,13.38,1.86,1.96,6.27,3.55,2.95,8.46,7.88,9.65
New Zealand,NZL,2025-11,13.66,1.89,1.98,6.43,3.73,3.22,8.55,8.89,9.46
New Zealand,NZL,2025-12,13.94,1.89,1.92,6.71,3.77,3.23,8.52,8.82,9.88
New Zealand,NZL,2026-01,13.59,1.86,1.95,6.42,3.73,3.06,8.5,8.71,9.82
New Zealand,NZL,2026-02,13.98,1.93,1.96,6.63,3.76,3.15,8.52,8.63,9.88
New Zealand,NZL,2026-03,13.86,1.9,1.96,6.55,3.8,3.15,8.6,8.57,9.79
Norway,NOR,2025-10,15.92,2.51,3.89,5.13,2.88,3.62,13.4,5.66,16.6
Norway,NOR,2025-11,15.92,2.5,3.94,5.13,3.06,3.79,13.78,6.68,17.08
Norway,NOR,2025-12,16.25,2.56,3.84,5.27,2.98,3.94,13.63,6.63,17.16
Norway,NOR,2026-01,15.89,2.54,3.86,5.02,3.01,3.78,13.84,6.44,17.36
Norway,NOR,2026-02,16.25,2.5,4,5.23,3.09,3.72,13.8,6.39,16.99
Norway,NOR,2026-03,16.15,2.52,3.89,5.2,3.02,3.77,13.81,6.3,17.03
Singapore,SGP,2025-10,11.5,2.94,2.37,3.32,2.76,4.53,17.74,3.3,10.01
Singapore,SGP,2025-11,11.85,2.92,2.41,3.53,3.07,5.08,18.13,3.72,10.38
Singapore,SGP,2025-12,11.82,2.97,2.35,3.45,3.01,5,18.14,3.63,10.06
Singapore,SGP,2026-01,11.65,2.97,2.42,3.38,3.06,4.99,17.91,3.55,9.93
Singapore,SGP,2026-02,11.89,2.95,2.47,3.45,2.94,4.9,18.34,3.64,10.24
Singapore,SGP,2026-03,11.93,2.99,2.42,3.53,2.99,4.91,18.15,3.59,10.35
South Africa,ZAF,2025-10,7,1.15,1.08,2.47,1.14,1.61,8.13,1.97,5.15
South Africa,ZAF,2025-11,7.3,1.21,1.11,2.53,1.22,1.73,8.27,2.25,5.1
South Africa,ZAF,2025-12,7.22,1.19,1.08,2.53,1.25,1.71,8.29,2.29,5.08
South Africa,ZAF,2026-01,7.24,1.21,1.1,2.51,1.24,1.75,8.44,2.21,5.19
South Africa,ZAF,2026-02,7.54,1.23,1.1,2.64,1.23,1.72,8.57,2.21,5.25
South Africa,ZAF,2026-03,7.49,1.25,1.12,2.62,1.25,1.75,8.72,2.26,5.26
South Korea,KOR,2025-10,15.3,2.03,3.02,2.95,3.61,5.63,13.39,6.75,8.75
South Korea,KOR,2025-11,15.33,2.01,2.97,2.96,3.84,5.97,14.11,7.44,8.68
South Korea,KOR,2025-12,15.27,2.12,2.93,3.03,3.9,6.17,14.09,7.66,8.86
South Korea,KOR,2026-01,15.63,2.14,3.04,3.09,3.77,6.07,13.95,7.48,8.99
South Korea,KOR,2026-02,15.54,2.14,2.94,2.99,3.73,6.04,13.95,7.38,8.73
South Korea,KOR,2026-03,15.53,2.11,2.99,3.05,3.79,6.08,13.99,7.38,8.94
Spain,ESP,2025-10,8.47,1.27,1.6,3.34,1.46,2.12,15.05,3.07,9.07
Spain,ESP,2025-11,8.5,1.25,1.63,3.33,1.56,2.25,15.09,3.33,9.03
Spain,ESP,2025-12,8.79,1.27,1.6,3.55,1.6,2.27,15.38,3.41,8.93
Spain,ESP,2026-01,8.71,1.28,1.6,3.5,1.56,2.24,15.05,3.25,8.98
Spain,ESP,2026-02,8.84,1.29,1.64,3.54,1.57,2.23,15.2,3.24,9.15
Spain,ESP,2026-03,8.8,1.31,1.62,3.51,1.56,2.25,15.38,3.26,9.09
Sweden,SWE,2025-10,13.24,1.82,3.26,4.79,2.13,3.15,13.55,4.19,13.48
Sweden,SWE,2025-11,13.14,1.82,3.31,4.68,2.23,3.48,13.26,4.84,13.89
Sweden,SWE,2025-12,13.46,1.85,3.4,4.88,2.31,3.44,13.36,4.78,13.59
Sweden,SWE,2026-01,13.14,1.82,3.34,4.66,2.33,3.4,13.53,4.68,13.96
Sweden,SWE,2026-02,13.34,1.85,3.28,4.77,2.29,3.44,13.33,4.72,14.07
Sweden,SWE,2026-03,13.45,1.88,3.35,4.84,2.26,3.46,13.63,4.7,13.76
United Kingdom,GBR,2025-10,10.66,1.73,1.76,4.08,1.99,2.79,9.89,4.03,9.46
United Kingdom,GBR,2025-11,10.76,1.71,1.79,4.14,2.09,3.02,10.06,4.63,9.33
United Kingdom,GBR,2025-12,10.86,1.74,1.73,4.27,2.1,2.98,10.12,4.52,9.4
United Kingdom,GBR,2026-01,10.59,1.74,1.72,4.07,2.09,2.96,10.18,4.42,9.37
United Kingdom,GBR,2026-02,10.92,1.79,1.77,4.14,2.12,2.95,10.15,4.43,9.58
United Kingdom,GBR,2026-03,10.91,1.76,1.76,4.22,2.11,2.97,10.21,4.39,9.44
United States,USA,2025-10,15.02,1.19,4.1,4.82,1.82,4.76,14.51,4.21,13.91
United States,USA,2025-11,15.06,1.19,4.15,4.85,1.93,5.12,14.46,4.73,13.76
United States,USA,2025-12,15.45,1.2,4.2,4.98,1.95,5.11,14.72,4.82,13.89
United States,USA,2026-01,15.29,1.19,4.14,4.93,1.93,5.11,14.5,4.54,13.71
United States,USA,2026-02,15.5,1.22,4.17,5.03,1.95,5.04,14.9,4.55,14.14
United States,USA,2026-03,15.49,1.22,4.17,5.02,1.94,5.08,14.88,4.61,14.05
